country,highest_education,title,pay_usd
China,Master’s degree,Student,"0-10,000"
India,Master’s degree,Software Engineer,"0-10,000"
India,Master’s degree,Not employed,
India,Master’s degree,Data Analyst,"20-30,000"
India,Bachelor’s degree,Data Scientist,"10-20,000"
India,Master’s degree,Business Analyst,"0-10,000"
China,Master’s degree,Student,"0-10,000"
India,Master’s degree,Student,"0-10,000"
India,Master’s degree,Software Engineer,"20-30,000"
India,Bachelor’s degree,Software Engineer,"0-10,000"
China,Bachelor’s degree,Data Engineer,"10-20,000"
India,Bachelor’s degree,Data Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Other,"0-10,000"
India,Bachelor’s degree,Student,"20-30,000"
India,Professional degree,Other,"30-40,000"
India,Bachelor’s degree,Data Scientist,"20-30,000"
China,Master’s degree,Student,
India,Master’s degree,Marketing Analyst,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Product/Project Manager,I do not wish to disclose my approximate yearly compensation
India,Doctoral degree,Not employed,
India,Master’s degree,Student,"0-10,000"
India,Master’s degree,Manager,"60-70,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Professional degree,Data Scientist,"0-10,000"
Spain,Master’s degree,Manager,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Consultant,"10-20,000"
India,Master’s degree,Data Analyst,"0-10,000"
India,Bachelor’s degree,Data Scientist,"10-20,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Consultant,"0-10,000"
India,Master’s degree,Business Analyst,"10-20,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Manager,
India,Doctoral degree,Research Scientist,"50-60,000"
India,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Research Assistant,"0-10,000"
India,Master’s degree,Data Analyst,"0-10,000"
India,Master’s degree,Data Analyst,"0-10,000"
China,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Master’s degree,Software Engineer,"0-10,000"
India,I prefer not to answer,Student,
India,Master’s degree,Data Scientist,"0-10,000"
China,Master’s degree,Student,"0-10,000"
India,Bachelor’s degree,Manager,"10-20,000"
India,Bachelor’s degree,Business Analyst,"0-10,000"
India,Doctoral degree,Other,"10-20,000"
India,Bachelor’s degree,Data Scientist,"0-10,000"
India,Bachelor’s degree,Other,"10-20,000"
India,Master’s degree,Other,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Not employed,
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Software Engineer,"20-30,000"
India,Bachelor’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Other,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Research Assistant,"0-10,000"
India,Master’s degree,Manager,"20-30,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Some college/university study without earning a bachelor’s degree,Data Scientist,"20-30,000"
India,Bachelor’s degree,Product/Project Manager,"20-30,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,
India,Some college/university study without earning a bachelor’s degree,Student,
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Software Engineer,"10-20,000"
India,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Data Scientist,"20-30,000"
India,Master’s degree,Not employed,
China,Professional degree,Software Engineer,"0-10,000"
India,Master’s degree,Consultant,"0-10,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Doctoral degree,Research Scientist,"0-10,000"
India,Bachelor’s degree,Data Analyst,"0-10,000"
India,Master’s degree,Student,
India,Bachelor’s degree,Student,
India,Bachelor’s degree,Student,"0-10,000"
China,Master’s degree,Student,"0-10,000"
India,Master’s degree,Developer Advocate,"10-20,000"
India,Bachelor’s degree,Data Analyst,"20-30,000"
India,Master’s degree,Product/Project Manager,"60-70,000"
India,Master’s degree,Student,"0-10,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Other,"10-20,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Data Scientist,"0-10,000"
India,Bachelor’s degree,Software Engineer,"10-20,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Product/Project Manager,
India,Bachelor’s degree,Consultant,"0-10,000"
India,Bachelor’s degree,Software Engineer,"20-30,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Some college/university study without earning a bachelor’s degree,Student,
India,Doctoral degree,Data Engineer,"40-50,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Data Scientist,"0-10,000"
India,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Not employed,
India,Master’s degree,Student,
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Bachelor’s degree,Software Engineer,"10-20,000"
India,Master’s degree,Data Scientist,"10-20,000"
India,Bachelor’s degree,Data Engineer,"10-20,000"
India,Bachelor’s degree,Marketing Analyst,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Manager,"30-40,000"
India,Bachelor’s degree,Not employed,
India,Bachelor’s degree,Other,"10-20,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Student,
India,Doctoral degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Not employed,
India,Professional degree,Manager,"0-10,000"
India,Master’s degree,Student,"0-10,000"
India,Bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Other,"30-40,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Not employed,
India,Bachelor’s degree,Data Scientist,"70-80,000"
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Master’s degree,Data Scientist,"0-10,000"
India,Bachelor’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Data Scientist,"30-40,000"
India,Bachelor’s degree,Student,
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Master’s degree,Not employed,
India,Bachelor’s degree,Student,
India,Master’s degree,Software Engineer,"20-30,000"
India,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Data Scientist,"10-20,000"
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Bachelor’s degree,Data Analyst,"10-20,000"
India,Professional degree,Not employed,
India,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Student,
India,Professional degree,Data Scientist,"10-20,000"
India,Professional degree,Other,
India,Master’s degree,Student,"0-10,000"
China,Bachelor’s degree,Data Engineer,"30-40,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,"0-10,000"
Ukraine,Master’s degree,Software Engineer,"20-30,000"
Australia,Doctoral degree,Statistician,"60-70,000"
Germany,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
China,Master’s degree,Student,"0-10,000"
India,Bachelor’s degree,Student,
India,Master’s degree,Consultant,
Russian Federation,No formal education past high school,Not employed,
India,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
India,Professional degree,Software Engineer,"0-10,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Business Analyst,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Not employed,
India,Bachelor’s degree,Student,
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Other,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,
India,Master’s degree,Other,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Not employed,
India,Bachelor’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
United Kingdom,Master’s degree,Data Analyst,"30-40,000"
India,Master’s degree,Student,"0-10,000"
India,Bachelor’s degree,Student,
Malaysia,Master’s degree,Data Scientist,"20-30,000"
United Kingdom,Bachelor’s degree,Data Scientist,"40-50,000"
India,Bachelor’s degree,Data Scientist,"0-10,000"
India,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Indonesia,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Data Analyst,"0-10,000"
France,Doctoral degree,Research Scientist,"40-50,000"
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Data Analyst,
Italy,Doctoral degree,Product/Project Manager,"50-60,000"
India,Master’s degree,Data Scientist,"0-10,000"
Japan,Doctoral degree,Research Assistant,"10-20,000"
India,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
United Kingdom,Master’s degree,Product/Project Manager,"100-125,000"
India,Bachelor’s degree,Other,I do not wish to disclose my approximate yearly compensation
